Date,BAB,MKT,SMB,HML,UMD
07/16/1997,0.00,0.01,-0.01,0.00,0.01
07/17/1997,0.00,0.00,0.00,0.00,0.00
07/18/1997,0.01,-0.01,0.01,0.00,0.00
07/21/1997,0.00,-0.01,0.00,0.00,0.00
07/22/1997,0.00,0.01,-0.01,0.00,0.00
07/23/1997,0.00,0.00,0.00,0.00,0.00
07/24/1997,0.00,0.00,0.00,0.00,0.00
07/25/1997,0.00,0.00,0.00,0.00,0.00
07/28/1997,0.00,0.00,0.00,0.00,0.00
07/29/1997,0.00,0.00,0.00,0.00,0.00
07/30/1997,0.00,0.01,0.00,0.00,0.00
07/31/1997,0.00,0.00,0.00,0.00,0.00
08/01/1997,0.01,-0.01,0.01,0.00,0.00
08/04/1997,0.00,0.00,0.00,0.00,0.00
08/05/1997,0.00,0.00,0.00,0.00,0.00
08/06/1997,0.00,0.01,0.00,0.00,0.00
08/07/1997,0.00,0.00,0.00,0.00,0.00
08/08/1997,0.00,-0.01,0.00,0.00,-0.01
08/11/1997,0.00,-0.01,0.00,0.01,0.00
08/12/1997,0.00,0.00,0.00,0.00,0.00
08/13/1997,0.00,0.00,0.00,0.00,0.00
08/14/1997,0.00,0.00,0.00,0.00,0.00
08/15/1997,0.00,-0.01,0.01,0.00,0.00
08/18/1997,0.00,0.00,0.00,0.00,0.00
08/19/1997,0.00,0.01,0.00,0.00,0.00
08/20/1997,0.00,0.01,0.00,0.00,0.00
08/21/1997,0.00,-0.01,0.01,0.00,0.00
08/22/1997,0.00,-0.01,0.00,0.00,0.00
08/25/1997,0.00,0.00,0.00,0.00,0.00
08/26/1997,0.00,0.00,0.00,0.00,0.00
08/27/1997,0.00,0.00,0.00,0.00,0.00
08/28/1997,0.01,-0.01,0.01,0.00,0.00
08/29/1997,0.00,-0.01,0.00,0.00,0.00
09/01/1997,0.00,0.00,0.00,0.00,0.00
09/02/1997,0.00,0.01,-0.01,0.00,0.01
09/03/1997,0.00,0.01,0.00,0.00,0.01
09/04/1997,0.00,0.00,0.00,0.00,0.00
09/05/1997,0.00,0.00,0.00,0.00,0.00
09/08/1997,0.00,0.00,0.00,0.00,0.00
09/09/1997,0.00,0.00,0.00,0.00,0.00
09/10/1997,0.01,-0.01,0.01,0.00,0.00
09/11/1997,0.00,-0.01,0.01,0.00,0.00
09/12/1997,0.00,0.00,0.00,0.00,0.00
09/15/1997,0.00,0.00,0.00,0.00,0.00
09/16/1997,0.00,0.01,-0.01,0.00,0.01
09/17/1997,0.00,0.00,0.00,0.00,0.01
09/18/1997,0.00,0.00,0.00,0.00,0.00
09/19/1997,0.00,0.00,0.00,0.00,0.00
09/22/1997,0.00,0.00,0.00,0.00,0.00
09/23/1997,0.01,0.00,0.00,0.00,0.00
09/24/1997,0.00,0.01,0.00,0.00,0.00
09/25/1997,0.00,0.00,0.00,0.00,0.00
09/26/1997,0.00,0.00,0.00,0.00,0.00
09/29/1997,0.00,0.00,0.00,0.00,0.00
09/30/1997,0.00,0.00,0.00,0.00,0.00
10/01/1997,0.00,0.00,0.00,0.00,0.00
10/02/1997,0.00,0.00,0.00,0.00,0.00
10/03/1997,0.00,0.00,0.00,0.00,0.00
10/06/1997,0.00,0.00,0.00,0.00,0.00
10/07/1997,0.00,0.00,0.00,0.00,0.00
10/08/1997,0.00,0.00,0.01,0.00,0.00
10/09/1997,0.00,-0.01,0.01,0.00,0.00
10/10/1997,0.00,0.00,0.00,0.00,0.00
10/13/1997,0.00,0.00,0.00,0.00,0.00
10/14/1997,0.00,0.00,0.00,0.00,0.00
10/15/1997,0.00,0.00,0.00,0.00,0.00
10/16/1997,0.00,0.00,0.00,0.00,0.00
10/17/1997,0.00,-0.01,0.00,0.00,0.00
10/20/1997,0.00,0.00,0.00,0.00,0.00
10/21/1997,0.00,0.01,0.00,0.00,0.00
10/22/1997,0.00,0.00,0.00,0.00,0.00
10/23/1997,0.01,-0.02,0.00,0.00,0.00
10/24/1997,0.00,0.00,0.00,0.00,0.00
10/27/1997,0.01,-0.04,0.01,0.01,0.00
10/28/1997,-0.01,0.01,-0.01,-0.01,0.00
10/29/1997,0.00,0.02,0.00,0.00,0.00
10/30/1997,0.01,-0.01,0.00,0.00,0.00
10/31/1997,0.00,0.01,0.00,0.00,0.00
11/03/1997,-0.01,0.02,-0.01,0.00,0.01
11/04/1997,0.00,0.00,0.00,0.00,0.00
11/05/1997,0.00,0.00,0.00,0.00,0.00
11/06/1997,0.00,0.00,0.00,0.00,0.00
11/07/1997,0.01,-0.02,0.00,0.00,0.00
11/10/1997,0.00,-0.01,0.00,0.00,0.00
11/11/1997,0.00,0.00,0.00,0.00,0.00
11/12/1997,0.01,-0.02,0.00,0.01,0.00
11/13/1997,-0.01,0.00,-0.01,0.00,0.00
11/14/1997,0.00,0.00,0.00,0.00,0.00
